Date,Value
24-05-05,42.5
25-05-05,43.7
26-05-05,45.8
27-05-05,45
28-05-05,45.2
29-05-05,47
30-05-05,47.7
31-05-05,49.2
01-06-05,50.4
02-06-05,50.5
03-06-05,52.7
04-06-05,55
05-06-05,57.9
06-06-05,57.6
07-06-05,59.2
08-06-05,60.7
09-06-05,62.5
10-06-05,63.5
11-06-05,63.2
12-06-05,63.9
13-06-05,65.9
14-06-05,68
15-06-05,70.4
16-06-05,71.6
17-06-05,72.2
18-06-05,73.7
19-06-05,75.4
20-06-05,77.4
21-06-05,79.2
22-06-05,82.5
23-06-05,83.8
24-06-05,85.2
25-06-05,87.5
26-06-05,88.7
27-06-05,90.2
28-06-05,91.9
29-06-05,93.4
30-06-05,92.9
01-07-05,91.2
02-07-05,92.9
03-07-05,93.7
04-07-05,93.4
05-07-05,93.2
06-07-05,93.6
07-07-05,94
08-07-05,94.7
09-07-05,96.2
10-07-05,96.7
11-07-05,96.9
12-07-05,98.1
13-07-05,99.5
14-07-05,100
15-07-05,99.6
16-07-05,98.8
