S.No,State Name,Total Population (Projected 2019)*,Numbers of Aadhaar assigned (2019),Saturation % 2019
1,Delhi,18498192,21828535,118
2,Haryana*,27793351,29023595,104.4
3,Kerala,35461849,36562261,103.1
4,Himachal Pradesh*,7384022,7576684,102.6
5,Punjab*,29875481,30408682,101.8
6,Goa*,1564349,1590115,101.6
7,Telangana,38919054,39296910,101
8,Uttarakhand,11140566,11109124,99.7
9,Chandigarh*,1142479,1133674,99.2
10,Lakshadweep,72172,70523,97.7
11,Dadra & Nagar Haveli and Daman & Diu,607223,585117,96.4
12,Gujarat*,64801901,62230903,96
13,Chhattisgarh,28989789,27446207,94.7
14,A & N Islands*,411278,387688,94.3
15,Tamil Nadu,77177540,72493674,93.9
16,Maharashtra,121924973,114330124,93.8
17,Karnataka,66834193,62628391,93.7
18,Odisha,45861035,42860941,93.5
19,West Bengal,98662146,92043971,93.3
20,Puducherry,1394026,1287798,92.4
21,Andhra Pradesh*,53390841,49261425,92.3
22,Jharkhand,37933898,34673514,91.4
23,Tripura,4112223,3679891,89.5
24,Mizoram,1222134,1092690,89.4
25,Madhya Pradesh,83849671,74905117,89.3
26,Uttar Pradesh*,233378519,204453726,87.6
27,Rajasthan,79584255,69063849,86.8
28,Sikkim,680721,579797,85.2
29,Bihar,122256981,103104446,84.3
30,Manipur,3048861,2524968,82.8
31,Arunachal Pradesh,1548776,1233285,79.6
32,Jammu Kashmir,13468313,10483452,77.8
33,Ladakh,279924,212955,76.1
34,Nagaland,2218634,1266909,57.1
35,Meghalaya,3320226,993530,29.9
36,Assam,35080827,7489513,21.3
