State,Volume_Mn,Population_Mn,Per_Capita_Monthly
Delhi,760.22,20.7,37
Puducherry,52.82,1.5,35
Chandigarh,75,2.2,35
Telangana,1336.13,40.6,33
Goa,94.05,3.1,31
Andaman and Nicobar,11.94,0.4,30
Karnataka,1810.76,71,26
Ladakh,15.55,0.6,25
Maharashtra,3152.05,126.7,25
Lakshadweep,1.81,0.08,23
Haryana,653.29,30.6,21
Dadra and Nagar Haveli,20,14.9,0.75
Daman and Diu,20,14.97,0.75
Sikkim,27.95,1.4,20
Mizoram,31.3,1.6,20
Arunachal Pradesh,56.6,3,19
Kerala,601.91,36.3,17
Uttaranchal,199.3,12,17
Andhra Pradesh,898.95,55.7,16
Tamil Nadu,1265.41,81.5,16
Himachal Pradesh,104.96,7.4,14
Nagaland,31.94,2.3,14
Gujarat,797.67,70.2,11
Punjab,339.75,30,11
Meghalaya,42,3.9,11
Manipur,34.18,3.2,11
Rajasthan,865.51,84.8,10
Jammu and Kashmir,138.65,13.6,10
Tripura,39.64,4,10
Orissa,448.48,47.6,9
Assam,327.23,36.5,9
Madhya Pradesh,699.35,91.6,8
Uttar Pradesh,1758.64,244.6,7
West Bengal,717.57,100.6,7
Jharkhand,281.52,41.6,7
Chhattisgarh,217.76,33,7
Bihar,710.55,130.9,5
