Pincode,state,district,Total,age_0_5,age_5_17,age_18_greater,Dominant_Age,Latitude,Longitude
744101,Andaman and Nicobar Islands,South Andaman,23,21,2,0,age_0_5,11.66583333,92.74111111
744102,Andaman and Nicobar Islands,South Andaman,26,24,2,0,age_0_5,11.6658333,92.7411111
744103,Andaman and Nicobar Islands,South Andaman,22,22,0,0,age_0_5,11.960000000000001,92.829999999999998
744103,Andaman and Nicobar Islands,South Andaman,22,22,0,0,age_0_5,11.66111111,92.74111111
744104,Andaman and Nicobar Islands,South Andaman,6,6,0,0,age_0_5,11.6658333,92.7411111
744105,Andaman and Nicobar Islands,South Andaman,40,39,1,0,age_0_5,11.6658333,92.7411111
744106,Andaman and Nicobar Islands,South Andaman,13,12,1,0,age_0_5,11.6658333,92.7411111
744107,Andaman and Nicobar Islands,South Andaman,3,3,0,0,age_0_5,11.7,92.72
744112,Andaman and Nicobar Islands,South Andaman,1,1,0,0,age_0_5,11.37,92.43
744201,Andaman and Nicobar Islands,North And Middle Andaman,11,10,1,0,age_0_5,12.615395,92.928454
744202,Andaman and Nicobar Islands,North And Middle Andaman,46,43,3,0,age_0_5,13.245378,92.974911
744203,Andaman and Nicobar Islands,North And Middle Andaman,4,4,0,0,age_0_5,12.367702,92.919841
744204,Andaman and Nicobar Islands,North And Middle Andaman,17,17,0,0,age_0_5,12.960000000000001,92.870000000000005
744204,Andaman and Nicobar Islands,North And Middle Andaman,17,17,0,0,age_0_5,12.92361111,92.89861111
744205,Andaman and Nicobar Islands,North And Middle Andaman,25,25,0,0,age_0_5,12.50555556,92.90944444
744206,Andaman and Nicobar Islands,South Andaman,20,18,2,0,age_0_5,11.44,92.42
744207,Andaman and Nicobar Islands,South Andaman,15,13,2,0,age_0_5,10.59138889,92.53833333
744209,Andaman and Nicobar Islands,North And Middle Andaman,8,8,0,0,age_0_5,12.3806850,92.8027390
744210,Andaman and Nicobar Islands,North And Middle Andaman,7,7,0,0,age_0_5,12.165934,92.776506
744211,Andaman and Nicobar Islands,South Andaman,1,1,0,0,age_0_5,12.040302,92.983321
744211,Andaman and Nicobar Islands,South Andaman,1,1,0,0,age_0_5,11.77,92.879999999999995
744301,Andaman and Nicobar Islands,Nicobar,63,53,10,0,age_0_5,9.175112,92.816118
744302,Andaman and Nicobar Islands,Nicobar,3,3,0,0,age_0_5,7.006427,93.93311
744303,Andaman and Nicobar Islands,Nicobar,4,4,0,0,age_0_5,8.0968670,93.5175620
744304,Andaman and Nicobar Islands,Nicobar,1,1,0,0,age_0_5,8.000927,93.374073
