Date,Banks,Volume_Mn,Value_Cr,Avg_Transaction_Rs,Year,Month,YearMonth
2016-04-01,21,0.0,0.0,,2016,4,2016-04
2016-05-01,21,0.0,0.0,,2016,5,2016-05
2016-06-01,21,0.0,0.0,,2016,6,2016-06
2016-07-01,21,0.09,0.38,42.22222222222222,2016,7,2016-07
2016-08-01,21,0.09,3.09,343.3333333333333,2016,8,2016-08
2016-09-01,25,0.09,32.64,3626.6666666666665,2016,9,2016-09
2016-10-01,26,0.1,48.57,4857.0,2016,10,2016-10
2016-11-01,30,0.29,100.46,3464.1379310344823,2016,11,2016-11
2016-12-01,35,1.99,707.93,3557.437185929648,2016,12,2016-12
2017-01-01,36,4.46,1696.22,3803.183856502242,2017,1,2017-01
2017-02-01,44,4.38,1937.71,4423.995433789954,2017,2,2017-02
2017-03-01,44,6.37,2425.14,3807.12715855573,2017,3,2017-03
2017-04-01,48,7.2,2271.24,3154.4999999999995,2017,4,2017-04
2017-05-01,49,9.36,2797.07,2988.3226495726494,2017,5,2017-05
2017-06-01,52,10.35,3098.36,2993.584541062802,2017,6,2017-06
2017-07-01,53,11.63,3411.35,2933.2330180567496,2017,7,2017-07
2017-08-01,55,16.8,4156.62,2474.1785714285716,2017,8,2017-08
2017-09-01,57,30.98,5325.81,1719.1123305358299,2017,9,2017-09
2017-10-01,60,76.96,7057.78,917.0712058212058,2017,10,2017-10
2017-11-01,61,105.02,9669.33,920.713197486193,2017,11,2017-11
2017-12-01,67,145.64,13174.24,904.5756660258171,2017,12,2017-12
2018-01-01,71,151.83,15571.2,1025.568069551472,2018,1,2018-01
2018-02-01,86,171.4,19126.2,1115.8809801633606,2018,2,2018-02
2018-03-01,91,178.05,24172.6,1357.6298792474024,2018,3,2018-03
2018-04-01,97,190.08,27021.85,1421.6040614478115,2018,4,2018-04
2018-05-01,101,189.48,33288.51,1756.8350221659277,2018,5,2018-05
2018-06-01,110,246.37,40834.03,1657.4270406299468,2018,6,2018-06
2018-07-01,114,273.75,51843.14,1893.8133333333333,2018,7,2018-07
2018-08-01,114,312.02,54212.26,1737.4610601884494,2018,8,2018-08
