Date,Volume_Mn,Type
2016-04-01,0.0,Actual
2016-05-01,0.0,Actual
2016-06-01,0.0,Actual
2016-07-01,0.09,Actual
2016-08-01,0.09,Actual
2016-09-01,0.09,Actual
2016-10-01,0.1,Actual
2016-11-01,0.29,Actual
2016-12-01,1.99,Actual
2017-01-01,4.46,Actual
2017-02-01,4.38,Actual
2017-03-01,6.37,Actual
2017-04-01,7.2,Actual
2017-05-01,9.36,Actual
2017-06-01,10.35,Actual
2017-07-01,11.63,Actual
2017-08-01,16.8,Actual
2017-09-01,30.98,Actual
2017-10-01,76.96,Actual
2017-11-01,105.02,Actual
2017-12-01,145.64,Actual
2018-01-01,151.83,Actual
2018-02-01,171.4,Actual
2018-03-01,178.05,Actual
2018-04-01,190.08,Actual
2018-05-01,189.48,Actual
2018-06-01,246.37,Actual
2018-07-01,273.75,Actual
2018-08-01,312.02,Actual
2018-09-01,405.87,Actual
2018-10-01,482.36,Actual
2018-11-01,524.94,Actual
2018-12-01,620.17,Actual
2019-01-01,672.75,Actual
2019-02-01,674.19,Actual
2019-03-01,799.54,Actual
2019-04-01,781.79,Actual
2019-05-01,733.54,Actual
2019-06-01,754.54,Actual
2019-07-01,822.29,Actual
2019-08-01,918.35,Actual
2019-09-01,955.02,Actual
2019-10-01,1148.36,Actual
2019-11-01,1218.77,Actual
2019-12-01,1308.4,Actual
2020-01-01,1305.02,Actual
2020-02-01,1325.69,Actual
2020-03-01,1246.84,Actual
2020-04-01,999.57,Actual
2020-05-01,1234.5,Actual
2020-06-01,1336.93,Actual
2020-07-01,1497.36,Actual
2020-08-01,1618.83,Actual
2020-09-01,1800.14,Actual
2020-10-01,2071.62,Actual
2020-11-01,2210.23,Actual
2020-12-01,2234.16,Actual
2021-01-01,2302.73,Actual
2021-02-01,2292.9,Actual
2021-03-01,2731.68,Actual
2021-04-01,2641.06,Actual
2021-05-01,2539.57,Actual
2021-06-01,2807.51,Actual
2021-07-01,3247.82,Actual
2021-08-01,3555.55,Actual
2021-09-01,3654.3,Actual
2021-10-01,4218.65,Actual
2021-11-01,4186.48,Actual
2021-12-01,4566.3,Actual
2022-01-01,4617.15,Actual
2022-02-01,4527.49,Actual
2022-03-01,5405.65,Actual
2022-04-01,5583.05,Actual
2022-05-01,5955.2,Actual
2022-06-01,5862.75,Actual
2022-07-01,6288.4,Actual
2022-08-01,6579.63,Actual
2022-09-01,6780.8,Actual
2022-10-01,7305.42,Actual
2022-11-01,7309.45,Actual
2022-12-01,7829.49,Actual
2023-01-01,8036.89,Actual
2023-02-01,7534.76,Actual
2023-03-01,8685.3,Actual
2023-04-01,8863.26,Actual
2023-05-01,9415.19,Actual
2023-06-01,9335.06,Actual
2023-07-01,9964.61,Actual
2023-08-01,10586.02,Actual
2023-09-01,10555.69,Actual
2023-10-01,11408.79,Actual
2023-11-01,11235.29,Actual
2023-12-01,12020.23,Actual
2024-01-01,12203.02,Actual
2024-02-01,12102.67,Actual
2024-03-01,13440.0,Actual
2024-04-01,13303.99,Actual
2024-05-01,14035.84,Actual
2024-06-01,13885.14,Actual
2024-07-01,14435.55,Actual
2024-08-01,14963.05,Actual
2024-09-01,15041.75,Actual
2024-10-01,16584.97,Actual
2024-11-01,15482.02,Actual
2024-12-01,16730.01,Actual
2025-01-01,16996.0,Actual
2025-02-01,16106.19,Actual
2025-03-01,18301.51,Actual
2025-04-01,17893.42,Actual
2025-05-01,18677.46,Actual
2025-06-01,18395.01,Actual
2025-07-01,19467.95,Actual
2025-08-01,20008.31,Actual
2025-09-01,19633.43,Actual
2025-10-01,20700.92,Actual
2025-11-01,20466.98,Actual
2025-12-01,106628.86277887515,Predicted
2026-01-01,115468.5314157687,Predicted
2026-02-01,125041.01984998248,Predicted
2026-03-01,135407.07977678947,Predicted
2026-04-01,146632.49928443698,Predicted
2026-05-01,158788.52037754367,Predicted
2026-06-01,171952.2911137183,Predicted
2026-07-01,186207.3552228805,Predicted
2026-08-01,201644.1823166487,Predicted
2026-09-01,218360.7420527589,Predicted
2026-10-01,236463.12589844904,Predicted
2026-11-01,256066.22043881856,Predicted
2026-12-01,277294.43650330976,Predicted
2027-01-01,300282.49873770314,Predicted
2027-02-01,325176.30063264037,Predicted
2027-03-01,352133.83043509605,Predicted
2027-04-01,381326.17381909647,Predicted
2027-05-01,412938.59967911575,Predicted
2027-06-01,447171.7359371289,Predicted
2027-07-01,484242.8428255716,Predicted
2027-08-01,524387.1917270729,Predicted
2027-09-01,567859.5583217671,Predicted
2027-10-01,614935.8395184164,Predicted
2027-11-01,665914.8044311868,Predicted
